time	NatP	MisP	Ub	E1	E2	E3	E3_MisP	DUB	Proteasome	ROS	E1_Ub	E2_Ub	E3_MisP_Ub	E3_MisP_Ub2	E3_MisP_Ub3	E3_MisP_Ub4	E3_MisP_Ub5	E3_MisP_Ub6	E3_MisP_Ub7	E3_MisP_Ub8	MisP_Ub4_Proteasome	MisP_Ub5_Proteasome	MisP_Ub6_Proteasome	MisP_Ub7_Proteasome	MisP_Ub8_Proteasome	E3_MisP_Ub_DUB	E3_MisP_Ub2_DUB	E3_MisP_Ub3_DUB	E3_MisP_Ub4_DUB	E3_MisP_Ub5_DUB	E3_MisP_Ub6_DUB	E3_MisP_Ub7_DUB	E3_MisP_Ub8_DUB	AggP1	AggP2	AggP3	AggP4	AggP5	SeqAggP	AggP_Proteasome	UCHL1	UCHL1_Proteasome	UCHL1_damaged_Proteasome	Lysosome	UCHL1_damaged	Lamp2a	Lamp2a_UCHL1_damaged	Ub_UCHL1	SUB	SUB_misfolded	E3SUB	E3SUB_SUB_misfolded	E3SUB_SUB_misfolded_Ub	E3SUB_SUB_misfolded_Ub2	E3SUB_SUB_misfolded_Ub3	E3SUB_SUB_misfolded_Ub4	E3SUB_SUB_misfolded_Ub5	E3SUB_SUB_misfolded_Ub6	E3SUB_SUB_misfolded_Ub7	E3SUB_SUB_misfolded_Ub8	E3SUB_SUB_misfolded_Ub_UCHL1	E3SUB_SUB_misfolded_Ub2_UCHL1	E3SUB_SUB_misfolded_Ub3_UCHL1	E3SUB_SUB_misfolded_Ub4_UCHL1	E3SUB_SUB_misfolded_Ub5_UCHL1	E3SUB_SUB_misfolded_Ub6_UCHL1	E3SUB_SUB_misfolded_Ub7_UCHL1	E3SUB_SUB_misfolded_Ub8_UCHL1	SUB_misfolded_Ub4_Proteasome	SUB_misfolded_Ub5_Proteasome	SUB_misfolded_Ub6_Proteasome	SUB_misfolded_Ub7_Proteasome	SUB_misfolded_Ub8_Proteasome	asyn	asyn_Proteasome	asyn_Lamp2a	asyn_dam	Parkin	Parkin_asyn_dam	Parkin_asyn_dam_Ub	Parkin_asyn_dam_Ub2	Parkin_asyn_dam_Ub3	Parkin_asyn_dam_Ub4	Parkin_asyn_dam_Ub5	Parkin_asyn_dam_Ub6	Parkin_asyn_dam_Ub7	Parkin_asyn_dam_Ub8	Parkin_asyn_dam_Ub_DUB	Parkin_asyn_dam_Ub2_DUB	Parkin_asyn_dam_Ub3_DUB	Parkin_asyn_dam_Ub4_DUB	Parkin_asyn_dam_Ub5_DUB	Parkin_asyn_dam_Ub6_DUB	Parkin_asyn_dam_Ub7_DUB	Parkin_asyn_dam_Ub8_DUB	asyn_dam_Ub4_Proteasome	asyn_dam_Ub5_Proteasome	asyn_dam_Ub6_Proteasome	asyn_dam_Ub7_Proteasome	asyn_dam_Ub8_Proteasome	AggA1	AggA2	AggA3	AggA4	AggA5	AggD1	AggD2	AggD3	AggD4	AggD5	AggU1	AggU2	AggU3	AggU4	AggU5	AggS1	AggS2	AggS3	AggS4	AggS5	aggasyn	aggasyndam	aggParkin	aggUb	aggE3	aggDUB	aggMisP	aggUchl1	aggUchl1dam	aggSUB	upregUb	alues[Tot_MisP	alues[Tot_Protein	alues[Ub_Conjugates	alues[Tot_Ub	alues[AggP	alues[Tot_asyn_dam	alues[Tot_asyn	alues[Tot_UCHL1	alues[UCHL1_substrate	nnamed: 14
0.0	6000.0	80.0	1500.0	105.0	50.0	300.0	2.0	160.0	1500.0	10.0	795.0	950.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	0.0	1.0	2.0	10.0	350.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5785.0	10.0	0.0	1200	0.0	200.0	0.0	500.0	815.0	5.0	160.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	20.0	20.0	25.0	25.0	30.0	30.0	40.0	40.0	0.0	0.0	0.0	5.0	20.0	3000.0	0.0	0.0	0.0	4800.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1545.0	7545.0	12632.0	14132.0	0.0	0.0	3000.0	6525.0	740.0	
300000.0	5978.62	91.89399999999999	1216.85	125.36	26.2568	261.202	2.47439	153.338	1512.64	10.0667	774.64	973.743	0.24743800000000002	0.247437	0.247437	0.24724400000000002	0.24705100000000002	0.24685900000000002	0.246666	316.244	0.280579	0.284256	0.45725600000000005	8.15955	350.70599999999996	96.2831	96.2675	96.2673	96.2865	96.3305	96.4056	96.5198	96.6833	0.000442689	3.6688e-07	2.48478e-10	1.3871e-13	6.51029e-17	238.43	4.479419999999999	5650.54	0.341887	0.000261316	1200	4.31878	98.3528	84.0209	412.56699999999995	646.5740000000001	3.40642	76.3411	0.137348	0.0137345	0.013734200000000002	0.0137338	0.013722899999999998	0.0137119	0.013700899999999998	0.01369	17.1115	37.4444	37.4701	37.5167	37.5893	37.6943	37.8402	38.0376	38.3	0.015572999999999998	0.0157713	0.0251315	0.44188599999999995	18.9763	3529.98	0.907759	13.8963	0.0037032	4799.16	0.00183184	0.00018318299999999998	0.000183182	0.000183182	0.00018303900000000002	0.000182896	0.000182754	0.00018261099999999998	0.234129	0.0688072	0.0693421	0.0698442	0.07030689999999999	0.0707232	0.0710852	0.07138380000000001	0.07160830000000001	0.00020772599999999998	0.000210449	0.000338543	0.00604131	0.259653	2.8775	0.396025	0.045854	0.00449286	0.000377004	-0.0007041160000000001	-0.000491929	-0.000336439	-0.000222362	-0.000140092	0.00331766	0.00331654	0.00331541	0.00331429	0.00331317	4.21124e-07	1.24403e-11	2.95152e-16	5.71116e-21	9.24517e-26	155.852	0.0336479	0.03540530000000001	338.426	49.3058	35.0305	39.1699	13.6484	79.5117	14.568	0.00326108	1543.27	7521.9	13076.2	14293.0	728.92	1.0707	3544.79	6453.68	803.1419999999999	
600000.0	6211.28	1133.37	19342.0	2.03261e-05	5.824399999999999e-05	-3.1988299999999996e-37	1.1084899999999999e-38	89.8605	1885.11	10.0298	900.0	1000.0	-4.12351e-38	-4.10333e-38	-4.0832e-38	-4.05931e-38	-3.4659299999999995e-37	-3.4626100000000003e-37	-3.45927e-37	1.31604e-36	-3.893069999999999e-30	-9.163549999999999e-29	-1.17171e-30	6.64818e-37	9.49138e-36	2.44522e-40	2.44595e-40	2.4458199999999995e-40	2.4978799999999995e-40	4.32317e-43	5.0960300000000004e-40	1.58366e-38	2.6161999999999995e-37	0.816876	0.0364506	0.000961741	1.8321e-05	2.75998e-07	424953.0	12.623	3424.74	0.258143	9.451460000000001e-06	1200	0.125335	65.7304	0.0380181	3974.58	663.775	61.3971	5.98217e-35	1.9539599999999998e-36	3.55861e-37	3.55501e-37	5.304609999999999e-37	5.2969899999999995e-37	2.54421e-37	2.5526999999999996e-37	2.56111e-37	2.58923e-34	7.61106e-39	8.357799999999999e-39	1.1163500000000001e-38	9.088349999999999e-39	7.76747e-39	1.25733e-38	1.7350899999999999e-37	7.66528e-36	1.9090599999999998e-35	-2.0621200000000002e-34	-7.058569999999999e-33	3.3807300000000005e-36	2.7988599999999994e-34	13.1762	0.00422513	0.0348984	1.37119e-05	4798.92	6.5650199999999995e-06	6.56362e-07	6.56222e-07	6.56082e-07	6.553239999999999e-07	6.54567e-07	6.538110000000001e-07	6.53056e-07	0.000564875	5.58387e-09	5.58271e-09	5.58214e-09	5.5944799999999995e-09	5.998979999999999e-09	1.50096e-08	2.1339700000000001e-07	4.59015e-06	9.27385e-07	9.281489999999999e-07	1.06489e-06	1.14149e-05	0.000788865	0.5107010000000001	0.09463889999999998	0.014042600000000002	0.00179431	0.000200691	-0.000151046	-9.71447e-05	-6.71279e-05	-4.67162e-05	-3.22244e-05	-0.000861581	-0.000848696	-0.0008360080000000001	-0.0008235139999999999	-0.000811211	0.00558587	2.03757e-05	4.32594e-08	6.67015e-11	8.184750000000001e-14	9175.05	1.08427	1.07892	10124.3	1402.0	869.576	392232.0	385.115	295.978	22832.8	43854.9	1133.37	7344.65	59853.8	79195.8	437320.0	0.00139871	13.2153	7399.75	3975.01	
900000.0	6079.69	402.379	3691.83	3.73042e-05	2.0403199999999998e-05	-1.49132e-36	9.407410000000002e-38	89.8589	1883.47	10.002	900.0	1000.0	3.45521e-39	3.45369e-39	3.45217e-39	3.4473799999999994e-39	3.89052e-38	3.88245e-38	3.874409999999999e-38	1.48175e-35	-1.20925e-33	1.28106e-32	3.8422199999999994e-33	4.8761899999999995e-37	1.36342e-35	5.50245e-41	5.501739999999999e-41	5.49582e-41	5.28851e-41	9.92025e-41	9.856139999999999e-42	2.36228e-39	7.02541e-38	0.0616247	0.00312685	0.000106167	2.60132e-06	4.99668e-08	1193420.0	14.0571	6236.94	0.469869	7.342180000000001e-06	1200	0.09743980000000001	46.6825	0.00756563	1381.66	655.373	21.7959	2.70374e-35	3.5235399999999995e-37	5.97508e-38	5.971e-38	5.1358e-38	5.13068e-38	-8.26774e-39	-8.20854e-39	-8.14957e-39	4.5705e-35	2.0535599999999995e-39	1.62768e-39	2.1211999999999997e-39	2.1037599999999998e-39	1.8305599999999998e-40	1.41913e-39	1.7892099999999999e-38	1.28619e-36	1.3960299999999997e-34	-1.1960899999999999e-33	-3.9462599999999993e-32	5.38251e-37	5.63462e-35	4.6897199999999994	0.00150193	0.0087845	4.82861e-06	4798.6	2.3028599999999998e-06	2.30149e-07	2.30011e-07	2.29873e-07	2.2951999999999998e-07	2.2916699999999998e-07	2.28815e-07	2.28463e-07	0.000148358	6.93664e-10	6.93249e-10	6.928250000000001e-10	6.91792e-10	6.92671e-10	8.09265e-10	7.935479999999999e-09	4.3983699999999997e-07	3.2432699999999996e-07	3.24309e-07	3.59892e-07	3.0711500000000002e-06	0.000206877	0.0301569	0.00562327	0.0008360689999999999	0.000107015	1.1991e-05	-1.19458e-05	-5.795790000000001e-06	-3.994469999999999e-06	-2.77998e-06	-1.91825e-06	-0.000885186	-0.0008681989999999999	-0.00085159	-0.000835349	-0.0008194669999999999	0.0003705	1.56425e-06	4.00509e-09	7.35403e-12	1.06384e-14	17570.0	1.40961	1.3955799999999998	10126.8	1402.0	869.576	1113090.0	385.115	451.954	61880.8	45544.7	402.379	6482.07	58953.2	62645.0	1205780.0	0.000368829	4.70001	7619.17	1382.23	
1200000.0	6049.05	244.787	1524.89	5.4246800000000004e-05	1.22549e-05	2.8765599999999994e-35	7.0465900000000005e-37	89.8584	1883.39	10.0001	900.0	1000.0	7.252849999999999e-38	7.250149999999999e-38	7.247460000000001e-38	7.23796e-38	7.799109999999999e-38	7.79708e-38	7.795039999999998e-38	5.84443e-35	5.84626e-35	6.35868e-33	8.44089e-31	6.34206e-29	1.38507e-34	1.97114e-40	1.96983e-40	1.9684299999999998e-40	1.9702099999999997e-40	3.0882599999999996e-40	1.9764999999999996e-40	2.6691700000000003e-39	1.8558599999999999e-37	0.00755044	0.00022847599999999997	8.120139999999998e-06	2.19202e-07	4.653390000000001e-09	1961200.0	14.1516	6032.26	0.45445699999999994	4.4792e-06	1200	0.0594476	37.1552	0.00224183	551.932	653.3290000000001	13.2594	1.07353e-34	7.45137e-37	5.64962e-38	5.638949999999999e-38	1.3870999999999999e-37	1.3845e-37	5.89721e-38	5.85969e-38	5.82231e-38	3.66437e-35	2.22822e-39	1.5479799999999996e-39	3.54467e-39	3.96879e-39	-1.5090299999999998e-39	3.3700499999999995e-39	3.03197e-38	2.05462e-36	2.04853e-37	4.91678e-38	1.87899e-37	1.89126e-36	1.2233399999999999e-34	2.85427	0.00091399	0.004250100000000001	2.9153500000000004e-06	4798.36	1.3850299999999998e-06	1.38367e-07	1.38232e-07	1.38096e-07	1.3783099999999999e-07	1.37566e-07	1.37302e-07	1.3703799999999999e-07	7.12298e-05	2.53655e-10	2.5340599999999997e-10	2.53155e-10	2.5267100000000003e-10	2.52317e-10	2.64862e-10	1.5542600000000002e-09	1.2927e-07	1.9473e-07	1.94586e-07	2.11521e-07	1.51216e-06	9.93068e-05	0.00178473	0.00033355	4.9653199999999994e-05	6.36253e-06	7.137269999999999e-07	-2.36777e-06	-3.47942e-07	-2.3725400000000001e-07	-1.6513100000000002e-07	-1.13973e-07	-0.000911515	-0.000883505	-0.000856482	-0.000830407	-0.0008052430000000001	3.27725e-05	1.05291e-07	2.8669200000000004e-10	5.67307e-13	8.82274e-16	25966.0	1.6612099999999999	1.6385599999999998	10128.7	1402.0	869.576	1833280.0	385.115	638.4730000000001	100891.0	45554.2	244.787	6293.83	58134.9	59659.8	1973570.0	0.000178241	2.85943	6584.7	552.448	
1500000.0	6035.29	175.912	1164.27	5.04099e-05	8.69488e-06	-2.52969e-36	-5.32739e-38	89.8581	1883.42	9.99997	900.0	1000.0	-5.40548e-39	-5.39698e-39	-5.38849e-39	-5.37496e-39	-1.6830799999999999e-38	-1.67865e-38	-1.6742299999999998e-38	-4.69254e-36	-1.61663e-32	-5.24179e-31	2.4474299999999997e-30	-8.827619999999999e-38	-6.234130000000001e-36	-5.44196e-42	-5.4322500000000005e-42	-5.4225199999999993e-42	-5.35385e-42	-1.71169e-41	-4.817899999999999e-41	-4.36331e-41	-5.283449999999999e-39	0.00229611	1.96951e-05	5.75114e-07	1.6148100000000002e-08	3.63824e-10	2728860.0	14.1536	5644.23	0.425225	3.0514099999999996e-06	1200	0.0404992	32.1148	0.000949923	394.289	652.396	9.52862	1.00046e-35	1.06703e-37	1.5749e-38	1.57179e-38	-3.9655e-39	-3.9721699999999995e-39	3.3689699999999995e-38	3.3592e-38	3.3494699999999995e-38	1.4528299999999999e-35	2.5772699999999996e-40	-1.41102e-40	-1.20872e-40	-5.11827e-41	5.7715599999999995e-40	9.04102e-40	4.11101e-39	5.310029999999999e-37	-8.772849999999999e-39	2.2238699999999998e-38	6.22073e-39	2.09392e-38	4.75063e-36	2.05153	0.0006569239999999999	0.00263892	2.0791800000000002e-06	4798.16	9.840040000000001e-07	9.826610000000001e-08	9.81321e-08	9.79982e-08	9.77726e-08	9.75474e-08	9.73228e-08	9.70987e-08	4.20745e-05	1.2944799999999999e-10	1.2927200000000003e-10	1.2909499999999998e-10	1.28798e-10	1.28522e-10	1.31113e-10	5.2743e-10	5.5025199999999996e-08	1.38128e-07	1.37946e-07	1.4784599999999999e-07	9.15623e-07	5.86559e-05	0.000106238	1.97692e-05	2.9457799999999997e-06	3.7781199999999997e-07	4.24212e-08	-1.27777e-06	-2.2242099999999997e-08	-1.40821e-08	-9.800649999999999e-09	-6.765919999999999e-09	-0.00091686	-0.000876308	-0.000837735	-0.000801034	-0.000766109	6.889160000000001e-06	7.38972e-09	1.92097e-11	3.9654e-14	6.454800000000001e-17	34363.2	1.86667	1.83548	10130.3	1402.0	869.576	2553360.0	385.115	813.049	139896.0	45554.9	175.912	6211.2	57979.5	59143.7	2741230.0	0.000106012	2.05483	6038.99	394.755	
1800000.0	6027.54	137.28799999999998	1101.19	4.10674e-05	6.69964e-06	4.1832499999999996e-36	5.9426e-38	89.8579	1883.44	9.999939999999999	900.0	1000.0	8.434659999999999e-39	8.420860000000001e-39	8.407080000000001e-39	8.385449999999999e-39	3.5643199999999994e-38	3.55407e-38	3.54385e-38	5.297939999999999e-36	1.0297299999999999e-33	9.53683e-33	8.95702e-33	2.20352e-37	1.05972e-35	9.918229999999999e-42	9.90308e-42	9.888519999999999e-42	9.95434e-42	3.718599999999999e-41	5.515259999999999e-42	8.55237e-41	6.76714e-39	0.00121073	3.2980900000000004e-06	4.25261e-08	1.12621e-09	2.62803e-11	3496470.0	14.1467	5469.86	0.41208900000000004	2.3226e-06	1200	0.030826799999999998	28.9079	0.000508335	361.401	651.87	7.43646	-5.763809999999999e-36	-2.93733e-38	-7.67505e-39	-7.65719e-39	-1.60248e-38	-1.5987499999999999e-38	-4.3459899999999993e-38	-4.3345299999999997e-38	-4.32309e-38	-3.16867e-36	-8.389829999999999e-41	-1.12332e-40	-2.4737099999999997e-40	4.3190899999999995e-42	-6.0031600000000004e-40	-2.0332e-40	-4.959069999999999e-40	2.7971699999999995e-38	-1.1568699999999997e-33	-1.36822e-32	-2.9482799999999997e-38	-8.52539e-38	-2.54551e-36	1.60124	0.000512729	0.00185346	1.61034e-06	4798.0	7.59216e-07	7.5789e-08	7.56566e-08	7.55244e-08	7.53217e-08	7.51195e-08	7.49178e-08	7.471669999999999e-08	2.77589e-05	7.79158e-11	7.77797e-11	7.76434e-11	7.7435e-11	7.72323e-11	7.79356e-11	2.37795e-10	2.83766e-08	1.0640800000000001e-07	1.06212e-07	1.1266400000000001e-07	6.189009999999999e-07	3.86974e-05	6.591460000000001e-06	1.1712299999999999e-06	1.7466699999999999e-07	2.24201e-08	2.51946e-09	-9.379940000000001e-07	-2.19739e-09	-8.363150000000001e-10	-5.814169999999999e-10	-4.0147099999999997e-10	-0.000913465	-0.0008611939999999999	-0.000812134	-0.0007660760000000001	-0.000722825	3.1910700000000003e-06	7.529370000000001e-10	1.27356e-12	2.6502e-15	4.453419999999999e-18	42761.0	2.04034	2.00067	10131.5	1402.0	869.576	3273410.0	385.115	979.36	178899.0	45555.0	137.28799999999998	6164.83	57948.0	59049.2	3508840.0	7.043260000000001e-05	1.6036	5831.7	361.844	
2100000.0	6022.59	112.572	1089.19	3.36142e-05	5.424e-06	-3.1251e-36	-7.62767e-39	89.8578	1883.45	9.999939999999999	900.0	1000.0	-1.26194e-39	-1.25491e-39	-1.2479199999999998e-39	-1.23979e-39	8.72679e-39	8.68965e-39	8.65264e-39	6.25262e-37	-5.878349999999999e-39	7.85007e-40	-6.79828e-38	-1.9779000000000002e-37	-4.47156e-36	-4.511319999999999e-44	-4.28578e-44	-4.0606699999999997e-44	-4.20495e-44	2.934639999999999e-42	1.92492e-41	9.5231e-42	1.2896699999999999e-39	0.000773514	1.2431799999999999e-06	4.46225e-09	7.83375e-11	1.8192e-12	4264060.0	14.1381	5406.52	0.40731799999999996	1.8893599999999998e-06	1200	0.0250769	26.6059	0.000312227	353.324	651.533	6.09769	-8.59516e-36	-2.89178e-38	-1.7335999999999997e-39	-1.7261099999999997e-39	-2.2657299999999995e-38	-2.25964e-38	-1.6129499999999998e-38	-1.60627e-38	-1.5996100000000002e-38	-3.639169999999999e-36	-7.133189999999998e-42	7.697030000000001e-41	-2.6270899999999997e-40	-3.61047e-40	-9.97828e-41	-1.40981e-40	-2.20565e-40	-2.42702e-38	-3.2226099999999997e-38	-1.72203e-38	-1.6810299999999998e-38	-1.01224e-37	-5.9627599999999994e-36	1.31304	0.000420445	0.00139858	1.31043e-06	4797.86	6.15479e-07	6.141690000000001e-08	6.12861e-08	6.11556e-08	6.09681e-08	6.078119999999999e-08	6.059480000000001e-08	6.0409e-08	1.96423e-05	5.17727e-11	5.16624e-11	5.15522e-11	5.13942e-11	5.12383e-11	5.14377e-11	1.27635e-10	1.64811e-08	8.612860000000001e-08	8.59279e-08	9.04301e-08	4.48426e-07	2.73819e-05	5.25519e-07	6.93836e-08	1.0353299999999998e-08	1.32993e-09	1.49567e-10	-7.48065e-07	-6.83566e-10	-5.00819e-11	-3.44833e-11	-2.38155e-11	-0.000906978	-0.000844035	-0.000785707	-0.000731639	-0.000681506	1.94672e-06	1.89615e-10	9.36638e-14	1.73537e-16	2.97147e-19	51159.1	2.19075	2.14267	10132.6	1402.0	869.576	3993440.0	385.115	1142.36	217900.0	45555.1	112.572	6135.16	57941.0	59030.2	4276440.0	5.01907e-05	1.3148600000000001	5760.28	353.756	
2400000.0	6019.14	95.3985	1086.58	2.81945e-05	4.53861e-06	-5.69866e-36	-5.26881e-38	89.8577	1883.46	9.99993	900.0	1000.0	-9.19982e-39	-9.16544e-39	-9.13117e-39	-9.08849e-39	-2.9779900000000003e-38	-2.96993e-38	-2.9618799999999997e-38	-6.456089999999999e-36	-1.46315e-38	-2.91594e-37	-3.4595399999999994e-36	9.37305e-35	-8.361679999999999e-36	-3.8146399999999994e-42	-3.7981599999999995e-42	-3.7816300000000004e-42	-3.76393e-42	-2.3629499999999997e-41	-1.6311699999999999e-41	-4.0349099999999995e-41	-4.4042899999999996e-39	0.00053977	6.72311e-07	1.06771e-09	6.25798e-12	1.2378599999999998e-13	5031650.0	14.129000000000001	5385.04	0.405702	1.5985399999999999e-06	1200	0.021217	24.8334	0.000209026	351.07800000000003	651.299	5.16743	-1.78202e-35	-7.1684e-38	3.91249e-39	3.93296e-39	-2.1286499999999998e-38	-2.1212799999999998e-38	-2.7297e-38	-2.7219599999999997e-38	-2.71425e-38	-9.70788e-36	1.2798200000000002e-40	-7.24212e-41	-1.92523e-40	-1.8833599999999997e-40	-3.3305499999999997e-40	-2.85596e-40	-8.78773e-40	-1.0623199999999999e-37	-3.1727099999999996e-38	-4.2745399999999996e-38	-2.3274799999999999e-38	-1.3920799999999998e-37	-6.30445e-36	1.11277	0.000356315	0.00110615	1.10214e-06	4797.73	5.15698e-07	5.14403e-08	5.1311099999999994e-08	5.1182300000000004e-08	5.1005799999999996e-08	5.083e-08	5.06548e-08	5.048019999999999e-08	1.45928e-05	3.67471e-11	3.66548e-11	3.65626e-11	3.64366e-11	3.63116e-11	3.6348e-11	7.70313e-11	1.0383500000000002e-08	7.2054e-08	7.18527e-08	7.51439e-08	3.40944e-07	2.03423e-05	7.997760000000001e-08	4.113560000000001e-09	6.13546e-10	7.88692e-11	8.87628e-12	-6.215600000000001e-07	-4.1938800000000007e-10	-3.2384099999999997e-12	-2.04498e-12	-1.41249e-12	-0.000899195	-0.0008263739999999999	-0.000759722	-0.0006986939999999999	-0.000642797	1.31069e-06	9.09824e-11	1.16231e-14	1.15501e-17	1.94295e-20	59557.6	2.3234	2.26697	10133.6	1402.0	869.576	4713460.0	385.115	1304.19	256902.0	45555.1	95.3985	6114.54	57939.7	59026.3	5044020.0	3.7552600000000004e-05	1.1142299999999998	5736.54	351.505	
2700000.0	6016.61	82.7712	1085.94	2.41701e-05	3.88849e-06	8.99625e-37	-3.5908299999999996e-39	89.8576	1883.47	9.99993	900.0	1000.0	6.206140000000001e-40	6.1144099999999995e-40	6.023229999999999e-40	5.927089999999999e-40	1.2179e-38	1.2092799999999997e-38	1.20072e-38	-3.8714800000000004e-38	-1.19544e-32	-3.6334899999999995e-31	4.50658e-31	2.00261e-38	6.623729999999999e-37	-7.0249200000000006e-43	-7.035899999999999e-43	-7.04734e-43	-7.254399999999999e-43	3.25618e-43	-1.59346e-42	-2.51339e-42	-5.1699800000000004e-40	0.000398313	4.14373e-07	4.74997e-10	8.868809999999999e-13	8.76803e-15	5799220.0	14.1197	5377.94	0.405169	1.38738e-06	1200	0.0184143	23.4077	0.000148403	350.409	651.128	4.48345	-6.918839999999999e-36	-1.58121e-38	5.80494e-39	5.79071e-39	4.6310699999999994e-39	4.60467e-39	-5.92629e-39	-5.89517e-39	-5.864209999999999e-39	2.0209e-36	3.4033400000000004e-41	-5.71175e-41	1.21906e-41	-4.104e-42	-2.62756e-41	9.109209999999997e-41	-5.16437e-41	-4.1453200000000004e-39	-7.55978e-38	-5.45021e-37	-6.71731e-39	-3.65435e-38	-3.07217e-38	0.965507	0.00030916	0.0009045780000000001	9.49084e-07	4797.62	4.4241799999999996e-07	4.41138e-08	4.398619999999999e-08	4.38589e-08	4.3691000000000004e-08	4.35238e-08	4.3357099999999995e-08	4.3191100000000005e-08	1.12387e-05	2.73419e-11	2.72628e-11	2.71839e-11	2.70798e-11	2.69764e-11	2.69545e-11	5.05386e-11	6.942020000000001e-09	6.172e-08	6.15199e-08	6.40088e-08	2.6858699999999997e-07	1.56667e-05	6.352270000000001e-09	2.44501e-10	3.63536e-11	4.67629e-12	5.26661e-13	-5.30708e-07	-2.99443e-10	-3.54937e-13	-1.2135e-13	-8.376310000000001e-14	-0.000890762	-0.0008086660000000001	-0.00073443	-0.0006672739999999999	-0.000606499	9.33241e-07	5.35219e-11	3.61289e-15	9.18885e-19	1.26227e-21	67956.3	2.44204	2.37732	10134.4	1402.0	869.576	5433480.0	385.115	1465.63	295902.0	45555.1	82.7712	6099.38	57939.9	59025.9	5811600.0	2.91273e-05	0.9667209999999999	5728.78	350.832	
3000000.0	6014.67	73.0961	1085.78	2.10818e-05	3.3911300000000004e-06	5.381919999999999e-36	8.85643e-38	89.8575	1883.48	9.99993	900.0	1000.0	1.3499000000000002e-38	1.34741e-38	1.34493e-38	1.34118e-38	4.6276799999999996e-38	4.621619999999999e-38	4.6155300000000005e-38	9.02762e-36	-8.25529e-37	-6.45666e-35	-4.5984599999999994e-33	-2.15969e-31	1.26044e-35	1.0777499999999999e-41	1.0753299999999998e-41	1.07295e-41	1.07932e-41	4.810890000000001e-41	3.586289999999999e-41	8.3046e-41	8.240100000000001e-39	0.000305995	2.74394e-07	2.62663e-10	2.89644e-13	8.207469999999999e-16	6566790.0	14.1103	5375.62	0.404996	1.2261200000000001e-06	1200	0.016274	22.2259	0.00010999700000000001	350.205	650.996	3.95937	-2.02759e-35	-7.684719999999999e-38	-1.2076899999999997e-38	-1.20591e-38	-2.2701699999999997e-38	-2.26229e-38	-1.53517e-38	-1.54016e-38	-1.5450899999999996e-38	-7.59226e-36	-1.25852e-40	-1.6604299999999996e-40	-1.8697199999999998e-40	-1.6869400000000002e-40	-3.2833199999999995e-40	-2.36688e-40	-7.6028e-40	-9.44429e-38	-2.4489999999999997e-36	-2.0684099999999997e-34	-1.51198e-32	1.6080999999999998e-31	-9.32132e-36	0.852666	0.000273028	0.0007584689999999999	8.319010000000001e-07	4797.52	3.86344e-07	3.85079e-08	3.83818e-08	3.8256099999999994e-08	3.80951e-08	3.7934800000000004e-08	3.77751e-08	3.7616099999999996e-08	8.899289999999999e-06	2.10774e-11	2.10084e-11	2.09396e-11	2.08514e-11	2.07638e-11	2.07208e-11	3.52734e-11	4.8563599999999996e-09	5.38145e-08	5.3616699999999993e-08	5.5547399999999996e-08	2.1743600000000002e-07	1.24054e-05	-2.5141400000000002e-08	1.37092e-11	2.1537200000000002e-12	2.77225e-13	3.12434e-14	-4.62238e-07	-2.25143e-10	-1.26617e-13	-7.251349999999999e-15	-4.9668e-15	-0.000881983	-0.000791112	-0.0007099160000000001	-0.000637333	-0.000572422	6.909619999999999e-07	3.41182e-11	1.81459e-15	1.45455e-19	8.548100000000001e-23	76355.2	2.54934	2.4764	10135.2	1402.0	869.576	6153490.0	385.115	1626.95	334903.0	45555.1	73.0961	6087.77	57940.5	59026.2	6579170.0	2.32288e-05	0.853698	5726.25	350.626	
