# Time	[Wnt{default}]	[Complex_br_(Wnt/Frizzled)]	[Frizzled]	[Complex_br_(Frizzled/Wnt/_br_LRP5/6)]	[LRP5/6]	[Casein Kinase 1]	[Casein Kinase 2]	[ATP]	[ADP]	[Glycogen Synthase Kinase-3_Beta_]	[Diversin]	[Complex_br_(Ebi/Siah-1)]	[Complex_br_(Siah-1/Ebi)]	[FRAT]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Axin/PP2A/_br_Adenomatous Polyposis Coli)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/Casein Kinase 1/_br_Glycogen Synthase Kinase-3_Beta_/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A)]	[Pygo]	[CBP]	[SWI/SNF]	[Bcl9]	[Wnt Target Genes]	[Complex_br_(TCF/Smad4)]	[Wnt{"Cell Membrane"}]	[_Beta_-Catenin{"Plasma Membrane"}]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br__Beta_-Catenin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/_Beta_-Catenin/_br_PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/_Beta_-Catenin/_br_Siah-1/Ebi)]	[_Beta_-Catenin{Nucleus}]	[Complex_br_(TCF/Smad4/_br__Beta_-Catenin)]	[Complex_br_(TCF/_Beta_-Catenin/_br_Smad4/Bcl9)]	[Complex_br_(Bcl9/_Beta_-Catenin/_br_TCF/Smad4/_br_Pygo)]	[Complex_br_(_Beta_-Catenin/TCF/_br_Smad4/Bcl9/_br_Pygo/SWI/_br_SNF)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A/_br_Diversin/Casein Kinase 1)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Glycogen Synthase Kinase-3_Beta_/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1)]	[Ubiquitin]	[_Beta_-Catenin_2]	[_Beta_-Catenin_3]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Siah-1/Ebi/_br_Axin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)_2]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo/Casein Kinase 2)]	[Complex_br_(Dishevelled/Casein Kinase 2/_br_Beta-Arrestin/Frodo/_br_FRAT)]	[_beta_TrCP]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)_2]	[Complex_br_(_beta_TrCP/_Beta_-Catenin)]	[6 bromoindirubin 3'oxime]	[Complex_br_(Bcl9/Pygo/../Smad4)]	
0	0	0	3	0	3	1	3	1	0	0	1	3	0	3	3	4	0	0	2	2	2	2	0	4	5	5	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	2	0	0	0	0.5	0	
40	1.24138	0.809357	0.681921	1.50872	1.49128	0.0495901	2.40913	0.69306	0.30694	0.074004	0.7112	1.783	0.92396	2.67565	2.23385	2.14609	0.0743127	0.922157	0.0226975	0.0851353	0.0474096	0.00672059	1.91382	0.660762	1.44054	0.100508	0.348114	0.154441	0.292019	0.702021	1.34596	0.0159769	0.0247122	0.0377257	0.332213	3.89417	0.000590614	3.09972e-05	0.00061853	0.00102141	0.00180279	1.12569	0.266517	0.250345	1.1662	0.833549	0.000115405	0.000140055	0.5	0.00104328	
80	1.24138	0.809357	0.681921	1.50872	1.49128	0.0563077	2.34879	0.698515	0.301485	0.0813193	0.709554	1.78169	0.925455	2.644	2.01786	2.14193	0.0745362	0.925445	0.0121464	0.0451198	0.0278589	0.00358031	1.95463	0.660196	1.44054	0.100806	0.349307	0.155027	0.292854	0.7013	1.34338	0.00856613	0.0157125	0.0172609	0.407443	3.82817	3.16799e-06	1.63544e-07	3.32213e-06	5.50545e-06	9.70429e-06	1.27463	0.295207	0.27468	1.17473	0.825265	6.12496e-07	7.41571e-07	0.5	0.000250409	
120	1.24138	0.809357	0.681921	1.50872	1.49128	0.0589757	2.32582	0.70198	0.29802	0.0840871	0.717414	1.78026	0.925463	2.63203	1.9332	2.14639	0.0745374	0.925463	0.00891265	0.0319241	0.0210497	0.00262125	1.96796	0.658411	1.44054	0.101157	0.351288	0.157653	0.294278	0.703639	1.34421	0.0062914	0.0121371	0.0108744	0.422838	3.80525	1.69636e-08	8.72967e-10	1.78944e-08	2.96512e-08	5.22694e-08	1.33365	0.306217	0.283878	1.17769	0.822311	3.2684e-09	3.96243e-09	0.5	0.000111256	
160	1.24138	0.809357	0.681921	1.50872	1.49128	0.0600053	2.3171	0.7038	0.2962	0.0851328	0.723743	1.77917	0.925463	2.62751	1.90066	2.15012	0.0745374	0.925463	0.00736496	0.0252709	0.017457	0.00216318	1.97467	0.656978	1.44054	0.101428	0.352793	0.159672	0.295366	0.705671	1.34518	0.00520178	0.010092	0.00781391	0.423159	3.79757	9.06058e-11	4.65775e-12	9.60422e-11	1.59119e-10	2.80522e-10	1.35643	0.31041	0.287356	1.17868	0.821319	1.74369e-11	2.1149e-11	0.5	6.31817e-05	
200	1.24138	0.809357	0.681921	1.50872	1.49128	0.0604196	2.31362	0.704696	0.295304	0.0855495	0.727411	1.77855	0.925463	2.62571	1.88759	2.15232	0.0745374	0.925463	0.00645628	0.0212258	0.0151882	0.00189487	1.97873	0.656135	1.44054	0.101583	0.353648	0.160828	0.295985	0.706868	1.34576	0.00456141	0.00873188	0.00603759	0.421384	3.79487	4.83573e-13	2.48494e-14	5.14031e-13	8.5155e-13	1.50134e-12	1.36561	0.312088	0.288743	1.17903	0.82097	9.30244e-14	1.12845e-13	0.5	4.09654e-05	
240	1.24138	0.809357	0.681921	1.50872	1.49128	0.060595	2.31215	0.705126	0.294874	0.0857251	0.729309	1.77824	0.925463	2.62495	1.88205	2.15346	0.0745374	0.925463	0.0058535	0.0184885	0.0136021	0.00171726	1.98148	0.655688	1.44054	0.101661	0.354085	0.161423	0.296301	0.707487	1.34603	0.00413625	0.00774862	0.00488636	0.420049	3.79384	2.58028e-15	1.32574e-16	2.74677e-15	4.55011e-15	8.02238e-15	1.3695	0.312797	0.289328	1.17916	0.820838	4.96288e-16	6.02066e-16	0.5	2.88605e-05	
280	1.24138	0.809357	0.681921	1.50872	1.49128	0.0606723	2.3115	0.70533	0.29467	0.0858022	0.730244	1.77808	0.925463	2.62461	1.87961	2.15403	0.0745374	0.925463	0.00541963	0.0165028	0.0124184	0.00158961	1.98348	0.655457	1.44054	0.101699	0.354297	0.161714	0.296455	0.707787	1.34613	0.00383002	0.00699879	0.00408434	0.419295	3.79343	1.37671e-17	7.07303e-19	1.46657e-17	2.42936e-17	4.28331e-17	1.37122	0.313109	0.289585	1.17922	0.820784	2.64777e-18	3.21218e-18	0.5	2.1523e-05	
320	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607072	2.31121	0.705426	0.294574	0.0858371	0.730694	1.77801	0.925463	2.62446	1.87851	2.15431	0.0745374	0.925463	0.00508869	0.01499	0.0114938	0.00149234	1.98499	0.655337	1.44054	0.101716	0.354398	0.161853	0.296528	0.707927	1.34616	0.00359634	0.0064051	0.00349624	0.418909	3.79325	7.3453e-20	3.77365e-21	7.82736e-20	1.29658e-19	2.28607e-19	1.37199	0.31325	0.289701	1.17924	0.820761	1.41265e-20	1.7138e-20	0.5	1.67295e-05	
360	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607232	2.31108	0.705471	0.294529	0.085853	0.730908	1.77798	0.925463	2.62439	1.878	2.15444	0.0745374	0.925463	0.00482527	0.013795	0.0107469	0.00141498	1.98619	0.655272	1.44054	0.101724	0.354444	0.161919	0.296561	0.707989	1.34614	0.00341029	0.00592163	0.00304811	0.41872	3.79317	3.9191e-22	2.01341e-23	4.17695e-22	6.91896e-22	1.21992e-21	1.37235	0.313315	0.289755	1.17925	0.82075	7.53715e-23	9.14393e-23	0.5	1.34191e-05	
