time	II	IIa	IIa_ATIII	IIa_alpha2M	PL	PT	RVV	V	Va	X	Xa	Xa_ATIII
0.0.	1.4	0.0	-7.888609052210118e-31	0.0	0.04999999	0.0	0.03	0.02999999	1.5407439555097882e-33	0.19999989999999998	0.0	0.0
0.0.25.0	1.386509247156982	0.012344885939826002	0.0009360116403880001	0.00020985526280200003	0.049999989899984006	1.0001506535952301e-10	0.03	0.029998118239468	1.8716605168600098e-06	0.185509306824529	0.007071554824056	0.007419038251399001
0.0.5.0	1.363655150613199	0.030061053174434003	0.005132975203511	0.001150821008854	0.049999989378448004	6.215518128014272e-10	0.03	0.029989726925876002	1.0262452571986812e-05	0.172061017372264	0.007944546575899	0.019994335430284
0.0.75.0	1.3404423769394072	0.044249593454353	0.012504501057628	0.0028035285486110004	0.049999988548562004	1.4514371272173331e-09	0.03	0.029974994145007	2.4994403555784833e-05	0.15958111218481102	0.0076424810466660005	0.032776305317084004
1.0.	1.31852349611953	0.054245092647261	0.022244222105995002	0.004987189127212	0.049999987569824	2.430175606717053e-09	0.03	0.029955539369493002	4.4448200330896246e-05	0.148000768174009	0.007144419013921001	0.044854710381893
1.0.25.0	1.2981226515588191	0.060754228545858005	0.033591788718151	0.0075313311771700005	0.049999986588825006	3.4111741907256713e-09	0.03	0.029932888896613004	6.709769221218121e-05	0.137255927505005	0.0066393327973730005	0.056104636286447004
1.0.5.0	1.279192077132512	0.064566522789455	0.04594129126008201	0.010300108817949	0.049999985670311005	4.3296887555418915e-09	0.03	0.029908257952784	9.172771752705421e-05	0.12728698513018702	0.006161971145176	0.06655093939494701
1.0.75.0	1.261637432617471	0.06634259842138	0.058830156539410004	0.013189812421738	0.049999984856686004	5.1433132174227116e-09	0.03	0.029882572866733	0.000117411989953	0.11803849439249701	0.0057170928448220006	0.076244307619367
2.0.	1.245361353118091	0.06660424904541201	0.07191168616537001	0.016122711671126	0.04999998416894601	5.831053687655779e-09	0.03	0.029856526387559004	0.00014345778138700002	0.10945888995807501	0.0053037322023090005	0.08523727200856
2.0.25.0	1.230271534766245	0.065757169462859	0.084929883947974	0.01904141182292	0.04999998361349001	6.386509456906237e-09	0.03	0.029830628541443003	0.00016935507204600002	0.10150022739049501	0.0049199323647410005	0.09357973385825301
2.0.5.0	1.216281921936178	0.06411476662250401	0.097699035923221	0.021904275518095002	0.049999983187372005	6.8126273869355845e-09	0.03	0.029805247955719004	0.000194735231653	0.094117938618074	0.004563662316793	0.10131829225250501
2.0.75.0	1.203312572501263	0.061918017690233	0.11008759917732301	0.024681810631179003	0.049999982881992006	7.118007318340544e-09	0.03	0.029780644481201	0.00021933840079100002	0.08727060255325601	0.004232988641228	0.10849630168750701
3.0.	1.191289288582556	0.05935128391067	0.122005585778581	0.027353841728191	0.049999982685655	7.314344805744012e-09	0.03	0.029756994727264	0.00024298795839000002	0.080919730119568	0.00392610202816	0.11515406053792501
